Type,Mass Mstar/Msun,Luminosity Lstar/Lsun,Radius Rstar/Rsun,Temp K,Color Index (B-V),Abs Mag Mv,Bolo Corr Temp,Bolo Mag Mbol,r,g,b
N9V,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,1,0.803921569,0.588235294
N9VI,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,1,0.776470588,0.423529412
WC0Ia0,160,3.41E+07,8.02E+01,50000,-0.35,-9.5,-4.58,-14.08,1,0.776470588,0.423529412
WC0Ia,150,2.59E+06,2.21E+01,50000,-0.35,-6.7,-4.58,-11.28,0.564705882,0.650980392,1
WC0Ib,140,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,0.564705882,0.650980392,1
WC0II,130,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,0.564705882,0.650980392,1
WC0III,120,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,0.564705882,0.650980392,1
WC0IV,110,1.36E+06,1.60E+01,50000,-0.35,-6,-4.58,-10.58,0.564705882,0.650980392,1
WC0V,100,1.24E+06,1.53E+01,50000,-0.35,-5.9,-4.58,-10.48,0.564705882,0.650980392,1
WC0VI,60,9.40E+05,1.33E+01,50000,-0.35,-5.6,-4.58,-10.18,0.564705882,0.650980392,1
WC1Ia0,159.7,2.71E+07,7.88E+01,47600,-0.35,-9.4,-4.43,-13.83,0.564705882,0.650980392,1
WC1Ia,149.3,2.25E+06,2.27E+01,47600,-0.35,-6.7,-4.43,-11.13,0.57254902,0.658823529,1
WC1Ib,139,1.87E+06,2.07E+01,47600,-0.35,-6.5,-4.43,-10.93,0.57254902,0.658823529,1
WC1II,128.6,1.73E+06,1.98E+01,47800,-0.35,-6.4,-4.44,-10.84,0.57254902,0.658823529,1
WC1III,118.2,1.58E+06,1.89E+01,47800,-0.35,-6.3,-4.44,-10.74,0.57254902,0.658823529,1
WC1IV,107.9,1.09E+06,1.57E+01,47800,-0.35,-5.9,-4.44,-10.34,0.57254902,0.658823529,1
WC1V,97.5,9.94E+05,1.50E+01,47800,-0.35,-5.8,-4.44,-10.24,0.568627451,0.654901961,1
WC1VI,37,7.54E+05,1.31E+01,47800,-0.35,-5.5,-4.44,-9.94,0.57254902,0.658823529,1
WC2Ia0,159.4,2.14E+07,7.77E+01,45200,-0.35,-9.3,-4.28,-13.58,0.57254902,0.658823529,1
WC2Ia,148.6,2.14E+06,2.46E+01,45200,-0.35,-6.8,-4.28,-11.08,0.580392157,0.666666667,1
WC2Ib,137.9,1.62E+06,2.14E+01,45200,-0.35,-6.5,-4.28,-10.78,0.580392157,0.666666667,1
WC2II,127.2,1.52E+06,2.03E+01,45600,-0.35,-6.4,-4.3,-10.7,0.580392157,0.666666667,1
WC2III,116.5,1.26E+06,1.85E+01,45600,-0.35,-6.2,-4.3,-10.5,0.580392157,0.666666667,1
