Type,Mass Mstar/Msun,Luminosity Lstar/Lsun,Radius Rstar/Rsun,Temp K,Color Index (B-V),Abs Mag Mv,Bolo Corr Temp,Bolo Mag Mbol,r,g,b
R1Ia0,12.4,8.71E+05,1.54E+03,4561,1.07,-9.4,-0.7,-10.1,1,0.945098039,0.898039216
R1Ia,10.5,1.66E+05,6.72E+02,4561,1.07,-7.6,-0.7,-8.3,1,0.894117647,0.733333333
R1Ib,8.6,1.05E+04,1.69E+02,4561,1.07,-4.6,-0.7,-5.3,1,0.894117647,0.733333333
R1II,6.7,1.38E+03,6.13E+01,4561,1.07,-2.4,-0.7,-3.1,1,0.894117647,0.733333333
R1III,4.7,1.05E+02,1.69E+01,4561,1.07,0.4,-0.7,-0.3,1,0.917647059,0.788235294
R1IV,2.8,6.61E+00,3.11E+00,5331,0.82,3,-0.3,2.7,1,0.937254902,0.870588235
R1V,0.9,7.94E-01,1.08E+00,5331,0.82,5.3,-0.3,5,1,0.945098039,0.898039216
R1VI,0.7,2.19E-01,5.65E-01,5331,0.82,6.7,-0.3,6.4,1,0.933333333,0.870588235
R2Ia0,12.8,9.40E+05,1.68E+03,4453,1.11,-9.4,-0.78,-10.18,1,0.933333333,0.870588235
R2Ia,10.8,1.79E+05,7.33E+02,4453,1.11,-7.6,-0.78,-8.38,1,0.882352941,0.71372549
R2Ib,8.8,1.24E+04,1.93E+02,4453,1.11,-4.7,-0.78,-5.48,1,0.882352941,0.71372549
R2II,6.8,1.49E+03,6.68E+01,4453,1.11,-2.4,-0.78,-3.18,1,0.882352941,0.71372549
R2III,4.8,1.36E+02,2.02E+01,4453,1.11,0.2,-0.78,-0.58,1,0.901960784,0.752941176
R2IV,2.8,7.17E+00,3.53E+00,5102,0.89,3,-0.39,2.61,1,0.917647059,0.82745098
R2V,0.8,6.54E-01,1.07E+00,5102,0.89,5.6,-0.39,5.21,1,0.933333333,0.866666667
R2VI,0.7,1.80E-01,5.60E-01,5102,0.89,7,-0.39,6.61,1,0.921568627,0.847058824
R3Ia0,13.3,9.32E+05,1.75E+03,4346,1.15,-9.3,-0.87,-10.17,1,0.921568627,0.847058824
R3Ia,11.2,1.78E+05,7.66E+02,4346,1.15,-7.5,-0.87,-8.37,1,0.870588235,0.690196078
R3Ib,9.1,1.35E+04,2.11E+02,4346,1.15,-4.7,-0.87,-5.57,1,0.870588235,0.690196078
R3II,7,1.78E+03,7.66E+01,4346,1.15,-2.5,-0.87,-3.37,1,0.870588235,0.690196078
R3III,5,1.62E+02,2.31E+01,4346,1.15,0.1,-0.87,-0.77,1,0.890196078,0.721568627
R3IV,2.9,7.26E+00,3.90E+00,4873,0.97,3.1,-0.5,2.6,1,0.901960784,0.780392157
R3V,0.8,5.50E-01,1.07E+00,4873,0.97,5.9,-0.5,5.4,1,0.917647059,0.831372549
R3VI,0.6,1.52E-01,5.63E-01,4873,0.97,7.3,-0.5,6.8,1,0.91372549,0.819607843
R4Ia0,13.7,1.02E+06,1.93E+03,4238,1.19,-9.3,-0.97,-10.27,1,0.91372549,0.819607843
R4Ia,11.5,1.95E+05,8.44E+02,4238,1.19,-7.5,-0.97,-8.47,1,0.858823529,0.670588235
R4Ib,9.4,1.62E+04,2.43E+02,4238,1.19,-4.8,-0.97,-5.77,1,0.858823529,0.670588235
R4II,7.2,1.95E+03,8.44E+01,4238,1.19,-2.5,-0.97,-3.47,1,0.858823529,0.670588235
R4III,5.1,1.95E+02,2.67E+01,4238,1.19,0,-0.97,-0.97,1,0.874509804,0.68627451
R4IV,2.9,8.25E+00,4.57E+00,4644,1.04,3.1,-0.64,2.46,1,0.882352941,0.737254902
R4V,0.8,5.21E-01,1.15E+00,4644,1.04,6.1,-0.64,5.46,1,0.905882353,0.796078431
R4VI,0.6,1.19E-01,5.50E-01,4644,1.04,7.7,-0.64,7.06,1,0.901960784,0.796078431
R5Ia0,14.1,1.13E+06,2.14E+03,4130,1.23,-9.3,-1.08,-10.38,1,0.901960784,0.796078431
R5Ia,11.9,1.97E+05,8.93E+02,4130,1.23,-7.4,-1.08,-8.48,1,0.847058824,0.647058824
R5Ib,9.6,2.16E+04,2.96E+02,4130,1.23,-5,-1.08,-6.08,1,0.847058824,0.647058824
R5II,7.4,2.16E+03,9.35E+01,4130,1.23,-2.5,-1.08,-3.58,1,0.847058824,0.647058824
R5III,5.2,2.59E+02,3.24E+01,4130,1.23,-0.2,-1.08,-1.28,1,0.862745098,0.654901961
R5IV,2.9,9.67E+00,5.47E+00,4416,1.12,3.1,-0.81,2.29,1,0.866666667,0.694117647
R5V,0.7,4.63E-01,1.20E+00,4416,1.12,6.4,-0.81,5.59,1,0.890196078,0.760784314
R5VI,0.5,8.81E-02,5.23E-01,4416,1.12,8.2,-0.81,7.39,1,0.890196078,0.768627451
R6Ia0,14.5,1.26E+06,2.39E+03,4023,1.27,-9.3,-1.2,-10.5,1,0.890196078,0.768627451
R6Ia,12.2,2.20E+05,9.95E+02,4023,1.27,-7.4,-1.2,-8.6,1,0.835294118,0.62745098
R6Ib,9.9,3.18E+04,3.78E+02,4023,1.27,-5.3,-1.2,-6.5,1,0.835294118,0.62745098
R6II,7.6,2.41E+03,1.04E+02,4023,1.27,-2.5,-1.2,-3.7,1,0.835294118,0.62745098
R6III,5.3,3.18E+02,3.78E+01,4023,1.27,-0.3,-1.2,-1.5,1,0.850980392,0.619607843
R6IV,3,1.17E+01,6.71E+00,4187,1.21,3.1,-1.02,2.08,1,0.847058824,0.650980392
R6V,0.7,4.26E-01,1.28E+00,4187,1.21,6.7,-1.02,5.68,1,0.878431373,0.729411765
R6VI,0.4,6.76E-02,5.09E-01,4187,1.21,8.7,-1.02,7.68,1,0.858823529,0.71372549
R7Ia0,15,1.43E+06,2.68E+03,3915,1.32,-9.3,-1.34,-10.64,1,0.858823529,0.71372549
R7Ia,12.6,2.27E+05,1.07E+03,3915,1.32,-7.3,-1.34,-8.64,1,0.823529412,0.603921569
R7Ib,10.2,3.94E+04,4.45E+02,3915,1.32,-5.4,-1.34,-6.74,1,0.823529412,0.603921569
R7II,7.8,2.99E+03,1.22E+02,3915,1.32,-2.6,-1.34,-3.94,1,0.823529412,0.603921569
R7III,5.4,3.94E+02,4.45E+01,3915,1.32,-0.4,-1.34,-1.74,1,0.835294118,0.588235294
R7IV,3,1.36E+01,8.08E+00,3958,1.3,3.2,-1.28,1.92,1,0.831372549,0.603921569
R7V,0.6,2.59E-01,1.12E+00,3958,1.3,7.5,-1.28,6.22,1,0.862745098,0.694117647
R7VI,0.4,4.50E-02,4.65E-01,3958,1.3,9.4,-1.28,8.12,1,0.82745098,0.658823529
R8Ia0,15.4,1.64E+06,3.03E+03,3808,1.36,-9.3,-1.48,-10.78,1,0.82745098,0.658823529
R8Ia,12.9,2.59E+05,1.21E+03,3808,1.36,-7.3,-1.48,-8.78,1,0.811764706,0.584313725
R8Ib,10.4,4.50E+04,5.03E+02,3808,1.36,-5.4,-1.48,-6.88,1,0.811764706,0.584313725
R8II,8,3.42E+03,1.38E+02,3808,1.36,-2.6,-1.48,-4.08,1,0.811764706,0.584313725
R8III,5.5,5.41E+02,5.51E+01,3808,1.36,-0.6,-1.48,-2.08,1,0.823529412,0.552941176
R8IV,3,1.82E+01,1.05E+01,3729,1.39,3.2,-1.6,1.6,1,0.811764706,0.560784314
R8V,0.6,1.82E-01,1.05E+00,3729,1.39,8.2,-1.6,6.6,1,0.847058824,0.658823529
R8VI,0.3,3.80E-02,4.82E-01,3729,1.39,9.9,-1.6,8.3,1,0.796078431,0.6
R9Ia0,15.8,1.90E+06,3.46E+03,3700,1.41,-9.3,-1.65,-10.95,1,0.796078431,0.6
R9Ia,13.3,2.74E+05,1.31E+03,3700,1.41,-7.2,-1.65,-8.85,1,0.8,0.560784314
R9Ib,10.7,5.73E+04,6.00E+02,3700,1.41,-5.5,-1.65,-7.15,1,0.8,0.560784314
R9II,8.2,3.96E+03,1.58E+02,3700,1.41,-2.6,-1.65,-4.25,1,0.8,0.560784314
R9III,5.6,6.89E+02,6.58E+01,3700,1.41,-0.7,-1.65,-2.35,1,0.811764706,0.521568627
R9IV,3.1,2.60E+01,1.43E+01,3500,1.49,3.2,-1.99,1.21,1,0.796078431,0.517647059
R9V,0.5,1.25E-01,9.90E-01,3500,1.49,9,-1.99,7.01,1,0.835294118,0.62745098
R9VI,0.2,3.76E-02,5.44E-01,3500,1.49,10.3,-1.99,8.31,1,0.764705882,0.545098039
C0Ia0,12,8.13E+05,1.42E+03,4669,1.03,-9.4,-0.62,-10.02,1,0.764705882,0.545098039
C0Ia,10.2,1.70E+05,6.49E+02,4669,1.03,-7.7,-0.62,-8.32,1,0.905882353,0.756862745
C0Ib,8.3,9.77E+03,1.56E+02,4669,1.03,-4.6,-0.62,-5.22,1,0.905882353,0.756862745
C0II,6.5,1.29E+03,5.65E+01,4669,1.03,-2.4,-0.62,-3.02,1,0.905882353,0.756862745
C0III,4.6,8.91E+01,1.49E+01,4669,1.03,0.5,-0.62,-0.12,1,0.929411765,0.819607843
C0IV,2.8,6.20E+00,2.76E+00,5560,0.75,3,-0.23,2.77,1,0.952941176,0.91372549
C0V,0.9,9.82E-01,1.10E+00,5560,0.75,5,-0.23,4.77,1,0.960784314,0.933333333
C0VI,0.8,2.97E-01,6.05E-01,5560,0.75,6.3,-0.23,6.07,1,0.945098039,0.898039216
C1Ia0,12.7,1.10E+06,1.88E+03,4371,1.14,-9.5,-0.85,-10.35,1,0.945098039,0.898039216
C1Ia,10.8,1.91E+05,7.85E+02,4371,1.14,-7.6,-0.85,-8.45,1,0.870588235,0.674509804
C1Ib,8.8,1.20E+04,1.97E+02,4371,1.14,-4.6,-0.85,-5.45,1,0.870588235,0.674509804
C1II,6.8,1.59E+03,7.16E+01,4371,1.14,-2.4,-0.85,-3.25,1,0.870588235,0.674509804
C1III,4.8,1.32E+02,2.06E+01,4371,1.14,0.3,-0.85,-0.55,1,0.909803922,0.768627451
C1IV,2.8,7.00E+00,3.41E+00,5164,0.87,3,-0.36,2.64,1,0.949019608,0.878431373
C1V,0.8,6.39E-01,1.03E+00,5164,0.87,5.6,-0.36,5.24,1,0.945098039,0.894117647
C1VI,0.7,1.76E-01,5.40E-01,5164,0.87,7,-0.36,6.64,1,0.921568627,0.854901961
C2Ia0,13.5,1.31E+06,2.37E+03,4073,1.25,-9.4,-1.15,-10.55,1,0.921568627,0.854901961
C2Ia,11.4,2.28E+05,9.89E+02,4073,1.25,-7.5,-1.15,-8.65,1,0.839215686,0.588235294
C2Ib,9.2,1.73E+04,2.72E+02,4073,1.25,-4.7,-1.15,-5.85,1,0.839215686,0.588235294
C2II,7.1,2.28E+03,9.89E+01,4073,1.25,-2.5,-1.15,-3.65,1,0.839215686,0.588235294
C2III,5,2.08E+02,2.99E+01,4073,1.25,0.1,-1.15,-1.05,1,0.88627451,0.717647059
C2IV,2.9,7.67E+00,4.18E+00,4769,1,3.1,-0.56,2.54,1,0.945098039,0.843137255
C2V,0.8,2.78E-01,7.97E-01,4769,1,6.7,-0.56,6.14,1,0.925490196,0.854901961
C2VI,0.7,1.33E-01,5.51E-01,4769,1,7.5,-0.56,6.94,1,0.894117647,0.811764706
C3Ia0,14.2,1.71E+06,3.15E+03,3776,1.37,-9.3,-1.53,-10.83,1,0.894117647,0.811764706
C3Ia,12,2.97E+05,1.31E+03,3776,1.37,-7.4,-1.53,-8.93,1,0.807843137,0.505882353
C3Ib,9.7,2.47E+04,3.78E+02,3776,1.37,-4.7,-1.53,-6.23,1,0.807843137,0.505882353
C3II,7.4,3.57E+03,1.44E+02,3776,1.37,-2.6,-1.53,-4.13,1,0.807843137,0.505882353
C3III,5.2,3.57E+02,4.55E+01,3776,1.37,-0.1,-1.53,-1.63,1,0.866666667,0.666666667
C3IV,2.9,1.00E+01,5.68E+00,4373,1.14,3.1,-0.85,2.25,1,0.941176471,0.811764706
C3V,0.7,1.20E-01,6.23E-01,4373,1.14,7.9,-0.85,7.05,1,0.909803922,0.819607843
C3VI,0.6,9.12E-02,5.42E-01,4373,1.14,8.2,-0.85,7.35,1,0.870588235,0.768627451
C4Ia0,15,2.71E+06,4.67E+03,3478,1.5,-9.3,-2.03,-11.33,1,0.870588235,0.768627451
C4Ia,12.6,4.29E+05,1.86E+03,3478,1.5,-7.3,-2.03,-9.33,1,0.776470588,0.419607843
C4Ib,10.2,4.29E+04,5.88E+02,3478,1.5,-4.8,-2.03,-6.83,1,0.776470588,0.419607843
C4II,7.8,6.20E+03,2.23E+02,3478,1.5,-2.7,-2.03,-4.73,1,0.776470588,0.419607843
C4III,5.4,6.80E+02,7.40E+01,3478,1.5,-0.3,-2.03,-2.33,1,0.847058824,0.615686275
C4IV,3,1.46E+01,8.28E+00,3978,1.29,3.1,-1.26,1.84,1,0.937254902,0.776470588
C4V,0.6,6.36E-02,5.47E-01,3978,1.29,9,-1.26,7.74,1,0.890196078,0.780392157
C4VI,0.5,6.36E-02,5.47E-01,3978,1.29,9,-1.26,7.74,1,0.843137255,0.725490196
C5Ia0,15.7,4.94E+06,7.55E+03,3180,1.65,-9.3,-2.68,-11.98,1,0.843137255,0.725490196
C5Ia,13.2,7.83E+05,3.00E+03,3180,1.65,-7.3,-2.68,-9.98,1,0.745098039,0.337254902
C5Ib,10.6,9.41E+04,1.04E+03,3180,1.65,-5,-2.68,-7.68,1,0.745098039,0.337254902
C5II,8.1,1.13E+04,3.61E+02,3180,1.65,-2.7,-2.68,-5.38,1,0.745098039,0.337254902
C5III,5.5,1.49E+03,1.31E+02,3180,1.65,-0.5,-2.68,-3.18,1,0.82745098,0.560784314
C5IV,3,2.27E+01,1.28E+01,3582,1.46,3.2,-1.84,1.36,1,0.929411765,0.741176471
C5V,0.5,5.20E-03,1.93E-01,3582,1.46,12.3,-1.84,10.46,1,0.874509804,0.741176471
C5VI,0.4,3.28E-02,4.85E-01,3582,1.46,10.3,-1.84,8.46,1,0.819607843,0.682352941
C6Ia0,14.8,1.09E+07,1.36E+04,2883,1.8,-9.3,-3.54,-12.84,1,0.819607843,0.682352941
C6Ia,12.4,1.57E+06,5.18E+03,2883,1.8,-7.2,-3.54,-10.74,1,0.71372549,0.250980392
C6Ib,10,2.73E+05,2.16E+03,2883,1.8,-5.3,-3.54,-8.84,1,0.71372549,0.250980392
C6II,7.6,2.73E+04,6.83E+02,2883,1.8,-2.8,-3.54,-6.34,1,0.71372549,0.250980392
C6III,5.2,3.95E+03,2.60E+02,2883,1.8,-0.7,-3.54,-4.24,1,0.803921569,0.509803922
C6IV,2.8,4.86E+01,2.36E+01,3187,1.64,3.2,-2.67,0.53,1,0.925490196,0.705882353
C6V,0.4,1.34E-03,1.24E-01,3187,1.64,14.6,-2.67,11.93,1,0.854901961,0.701960784
C6VI,0.3,3.07E-03,1.87E-01,3187,1.64,13.7,-2.67,11.03,1,0.807843137,0.619607843
C7Ia0,13.9,2.85E+07,2.74E+04,2585,1.98,-9.2,-4.69,-13.89,1,0.807843137,0.619607843
C7Ia,11.6,4.12E+06,1.04E+04,2585,1.98,-7.1,-4.69,-11.79,1,0.678431373,0.168627451
C7Ib,9.3,8.61E+05,4.77E+03,2585,1.98,-5.4,-4.69,-10.09,1,0.678431373,0.168627451
C7II,7.1,8.61E+04,1.51E+03,2585,1.98,-2.9,-4.69,-7.59,1,0.678431373,0.168627451
C7III,4.8,9.44E+03,4.99E+02,2585,1.98,-0.5,-4.69,-5.19,1,0.784313725,0.458823529
C7IV,2.5,1.46E+02,5.33E+01,2791,1.86,3.2,-3.86,-0.66,1,0.921568627,0.674509804
C7V,0.3,5.30E-04,1.01E-01,2791,1.86,16.8,-3.86,12.94,1,0.839215686,0.666666667
C7VI,0.3,5.30E-04,1.01E-01,2791,1.86,16.8,-3.86,12.94,1,0.8,0.552941176
C8Ia0,12.9,1.08E+08,6.82E+04,2288,2.17,-9.1,-6.23,-15.33,1,0.8,0.552941176
C8Ia,10.8,1.56E+07,2.59E+04,2288,2.17,-7,-6.23,-13.23,1,0.647058824,0.082352941
C8Ib,8.7,3.26E+06,1.18E+04,2288,2.17,-5.3,-6.23,-11.53,1,0.647058824,0.082352941
C8II,6.6,3.58E+05,3.92E+03,2288,2.17,-2.9,-6.23,-9.13,1,0.647058824,0.082352941
C8III,4.4,2.97E+04,1.13E+03,2288,2.17,-0.2,-6.23,-6.43,1,0.764705882,0.407843137
C8IV,2.3,6.70E+02,1.55E+02,2396,2.1,3.3,-5.61,-2.31,1,0.917647059,0.639215686
C8V,0.2,9.68E-04,1.86E-01,2396,2.1,17.9,-5.61,12.29,1,0.819607843,0.62745098
C8VI,0.2,6.70E-04,1.55E-01,2396,2.1,18.3,-5.61,12.69,1,0.788235294,0.490196078
C9Ia0,12,7.11E+08,2.31E+05,1990,2.4,-9,-8.38,-17.38,1,0.788235294,0.490196078
C9Ia,10,1.03E+08,8.79E+04,1990,2.4,-6.9,-8.38,-15.28,1,0.615686275,0
C9Ib,8,2.15E+07,4.02E+04,1990,2.4,-5.2,-8.38,-13.58,1,0.615686275,0
C9II,6,2.83E+06,1.46E+04,1990,2.4,-3,-8.38,-11.38,1,0.615686275,0
C9III,4.1,1.79E+05,3.67E+03,1990,2.4,0,-8.38,-8.38,1,0.745098039,0.356862745
C9IV,2.1,7.91E+03,7.64E+02,2000,2.39,3.3,-8.3,-5,1,0.91372549,0.603921569
C9V,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,1,0.803921569,0.588235294
C9VI,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,1,0.776470588,0.423529412
S0Ia0,15.8,1.90E+06,3.46E+03,3700,1.41,-9.3,-1.65,-10.95,1,0.776470588,0.423529412
S0Ia,13.3,2.74E+05,1.31E+03,3700,1.41,-7.2,-1.65,-8.85,1,0.8,0.560784314
S0Ib,10.7,5.73E+04,6.00E+02,3700,1.41,-5.5,-1.65,-7.15,1,0.8,0.560784314
S0II,8.2,3.96E+03,1.58E+02,3700,1.41,-2.6,-1.65,-4.25,1,0.8,0.560784314
S0III,5.6,6.89E+02,6.58E+01,3700,1.41,-0.7,-1.65,-2.35,1,0.811764706,0.521568627
S0IV,3.1,2.60E+01,1.43E+01,3500,1.49,3.2,-1.99,1.21,1,0.796078431,0.517647059
S0V,0.5,1.25E-01,9.90E-01,3500,1.49,9,-1.99,7.01,1,0.835294118,0.62745098
S0VI,0.2,3.76E-02,5.44E-01,3500,1.49,10.3,-1.99,8.31,1,0.764705882,0.545098039
S1Ia0,15.1,2.56E+06,4.46E+03,3510,1.49,-9.3,-1.97,-11.27,1,0.764705882,0.545098039
S1Ia,12.7,3.37E+05,1.62E+03,3510,1.49,-7.1,-1.97,-9.07,1,0.792156863,0.541176471
S1Ib,10.2,7.73E+04,7.75E+02,3510,1.49,-5.5,-1.97,-7.47,1,0.792156863,0.541176471
S1II,7.8,5.86E+03,2.13E+02,3510,1.49,-2.7,-1.97,-4.67,1,0.792156863,0.541176471
S1III,5.3,9.29E+02,8.50E+01,3510,1.49,-0.7,-1.97,-2.67,1,0.803921569,0.501960784
S1IV,2.9,3.55E+01,1.84E+01,3333,1.57,3.2,-2.33,0.87,1,0.784313725,0.474509804
S1V,0.5,6.18E-02,7.68E-01,3333,1.57,10.1,-2.33,7.77,1,0.831372549,0.623529412
S1VI,0.2,1.86E-02,4.22E-01,3333,1.57,11.4,-2.33,9.07,1,0.8,0.556862745
S2Ia0,14.5,3.65E+06,5.95E+03,3320,1.58,-9.3,-2.36,-11.66,1,0.8,0.556862745
S2Ia,12.1,4.81E+05,2.16E+03,3320,1.58,-7.1,-2.36,-9.46,1,0.756862745,0.407843137
S2Ib,9.8,1.10E+05,1.03E+03,3320,1.58,-5.5,-2.36,-7.86,1,0.756862745,0.407843137
S2II,7.4,8.36E+03,2.85E+02,3320,1.58,-2.7,-2.36,-5.06,1,0.756862745,0.407843137
S2III,5.1,1.21E+03,1.08E+02,3320,1.58,-0.6,-2.36,-2.96,1,0.796078431,0.48627451
S2IV,2.7,5.09E+01,2.44E+01,3167,1.65,3.2,-2.72,0.48,1,0.776470588,0.462745098
S2V,0.4,3.21E-02,6.14E-01,3167,1.65,11.2,-2.72,8.48,1,0.82745098,0.615686275
S2VI,0.2,8.85E-03,3.22E-01,3167,1.65,12.6,-2.72,9.88,1,0.768627451,0.51372549
S3Ia0,13.8,5.07E+06,7.89E+03,3130,1.67,-9.2,-2.81,-12.01,1,0.768627451,0.51372549
S3Ia,11.6,7.33E+05,3.00E+03,3130,1.67,-7.1,-2.81,-9.91,1,0.752941176,0.462745098
S3Ib,9.3,1.68E+05,1.44E+03,3130,1.67,-5.5,-2.81,-8.31,1,0.752941176,0.462745098
S3II,7.1,1.40E+04,4.14E+02,3130,1.67,-2.8,-2.81,-5.61,1,0.752941176,0.462745098
S3III,4.8,1.84E+03,1.50E+02,3130,1.67,-0.6,-2.81,-3.41,1,0.788235294,0.466666667
S3IV,2.6,7.76E+01,3.36E+01,3000,1.74,3.2,-3.18,0.02,1,0.784313725,0.466666667
S3V,0.3,1.78E-02,5.09E-01,3000,1.74,12.3,-3.18,9.12,1,0.823529412,0.611764706
S3VI,0.2,4.90E-03,2.67E-01,3000,1.74,13.7,-3.18,10.52,1,0.807843137,0.505882353
S4Ia0,13.2,8.38E+06,1.15E+04,2940,1.77,-9.2,-3.36,-12.56,1,0.807843137,0.505882353
S4Ia,11,1.10E+06,4.18E+03,2940,1.77,-7,-3.36,-10.36,1,0.725490196,0.407843137
S4Ib,8.9,2.77E+05,2.09E+03,2940,1.77,-5.5,-3.36,-8.86,1,0.725490196,0.407843137
S4II,6.7,2.31E+04,6.04E+02,2940,1.77,-2.8,-3.36,-6.16,1,0.725490196,0.407843137
S4III,4.6,2.77E+03,2.09E+02,2940,1.77,-0.5,-3.36,-3.86,1,0.780392157,0.447058824
S4IV,2.4,1.27E+02,4.83E+01,2833,1.83,3.2,-3.71,-0.51,1,0.807843137,0.498039216
S4V,0.3,1.06E-02,4.40E-01,2833,1.83,13.4,-3.71,9.69,1,0.819607843,0.607843137
S4VI,0.1,2.66E-03,2.21E-01,2833,1.83,14.9,-3.71,11.19,1,0.788235294,0.498039216
S5Ia0,12.5,1.53E+07,1.78E+04,2750,1.88,-9.2,-4.01,-13.21,1,0.788235294,0.498039216
S5Ia,10.5,2.02E+06,6.45E+03,2750,1.88,-7,-4.01,-11.01,1,0.698039216,0.305882353
S5Ib,8.4,5.07E+05,3.23E+03,2750,1.88,-5.5,-4.01,-9.51,1,0.698039216,0.305882353
S5II,6.4,4.62E+04,9.76E+02,2750,1.88,-2.9,-4.01,-6.91,1,0.698039216,0.305882353
S5III,4.3,5.07E+03,3.23E+02,2750,1.88,-0.5,-4.01,-4.51,1,0.77254902,0.431372549
S5IV,2.3,2.07E+02,6.94E+01,2667,1.93,3.3,-4.34,-1.04,1,0.77254902,0.48627451
S5V,0.2,6.24E-03,3.81E-01,2667,1.93,14.6,-4.34,10.26,1,0.819607843,0.603921569
S5VI,0.1,1.72E-03,2.00E-01,2667,1.93,16,-4.34,11.66,1,0.8,0.435294118
S6Ia0,12.4,2.88E+07,2.81E+04,2560,2,-9.1,-4.8,-13.9,1,0.8,0.435294118
S6Ia,10.3,4.17E+06,1.07E+04,2560,2,-7,-4.8,-11.8,1,0.670588235,0.203921569
S6Ib,8.3,9.55E+05,5.12E+03,2560,2,-5.4,-4.8,-10.2,1,0.670588235,0.203921569
S6II,6.3,9.55E+04,1.62E+03,2560,2,-2.9,-4.8,-7.7,1,0.670588235,0.203921569
S6III,4.2,9.55E+03,5.12E+02,2560,2,-0.4,-4.8,-5.2,1,0.764705882,0.411764706
S6IV,2.2,4.10E+02,1.11E+02,2500,2.03,3.3,-5.08,-1.78,1,0.698039216,0.474509804
S6V,0.2,4.50E-03,3.68E-01,2500,2.03,15.7,-5.08,10.62,1,0.815686275,0.6
S6VI,0.1,1.63E-03,2.22E-01,2500,2.03,16.8,-5.08,11.72,1,0.764705882,0.439215686
S7Ia0,12.3,6.96E+07,5.10E+04,2370,2.12,-9.1,-5.76,-14.86,1,0.764705882,0.439215686
S7Ia,10.2,9.18E+06,1.85E+04,2370,2.12,-6.9,-5.76,-12.66,1,0.643137255,0.101960784
S7Ib,8.2,2.10E+06,8.87E+03,2370,2.12,-5.3,-5.76,-11.06,1,0.643137255,0.101960784
S7II,6.2,2.53E+05,3.07E+03,2370,2.12,-3,-5.76,-8.76,1,0.643137255,0.101960784
S7III,4.2,2.10E+04,8.87E+02,2370,2.12,-0.3,-5.76,-6.06,1,0.756862745,0.392156863
S7IV,2.1,9.26E+02,1.92E+02,2333,2.14,3.3,-5.97,-2.67,1,0.647058824,0.380392157
S7V,0.1,3.69E-03,3.83E-01,2333,2.14,16.8,-5.97,10.83,1,0.811764706,0.596078431
S7VI,0.1,1.94E-03,2.78E-01,2333,2.14,17.5,-5.97,11.53,1,0.77254902,0.435294118
S8Ia0,12.1,2.05E+08,1.03E+05,2180,2.25,-9.1,-6.93,-16.03,1,0.77254902,0.435294118
S8Ia,10.1,2.70E+07,3.76E+04,2180,2.25,-6.9,-6.93,-13.83,1,0.615686275,0
S8Ib,8.1,5.15E+06,1.64E+04,2180,2.25,-5.1,-6.93,-12.03,1,0.615686275,0
S8II,6.1,7.44E+05,6.23E+03,2180,2.25,-3,-6.93,-9.93,1,0.615686275,0
S8III,4.1,5.15E+04,1.64E+03,2180,2.25,-0.1,-6.93,-7.03,1,0.752941176,0.376470588
S8IV,2.1,2.44E+03,3.61E+02,2167,2.26,3.3,-7.02,-3.72,1,0.654901961,0.380392157
S8V,0.1,3.53E-03,4.34E-01,2167,2.26,17.9,-7.02,10.88,1,0.807843137,0.592156863
S8VI,0.1,2.44E-03,3.61E-01,2167,2.26,18.3,-7.02,11.28,1,0.776470588,0.42745098
S9Ia0,12,7.11E+08,2.31E+05,1990,2.4,-9,-8.38,-17.38,1,0.776470588,0.42745098
S9Ia,10,1.03E+08,8.79E+04,1990,2.4,-6.9,-8.38,-15.28,1,0.615686275,0
S9Ib,8,1.79E+07,3.67E+04,1990,2.4,-5,-8.38,-13.38,1,0.615686275,0
S9II,6,2.83E+06,1.46E+04,1990,2.4,-3,-8.38,-11.38,1,0.615686275,0
S9III,4.1,1.79E+05,3.67E+03,1990,2.4,0,-8.38,-8.38,1,0.745098039,0.356862745
S9IV,2.1,7.91E+03,7.64E+02,2000,2.39,3.3,-8.3,-5,1,0.91372549,0.603921569
S9V,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,1,0.803921569,0.588235294
S9VI,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,1,0.776470588,0.423529412
DA0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,1,0.776470588,0.423529412
DA1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,0.607843137,0.698039216,1
DA2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,0.623529412,0.709803922,1
DA3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,0.658823529,0.741176471,1
DA4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,0.701960784,0.77254902,1
DA5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,0.752941176,0.811764706,1
DA6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,0.811764706,0.854901961,1
DA7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,0.878431373,0.901960784,1
DA8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,0.952941176,0.952941176,1
