sl,si,lum,massratio,lumratio,radiusratio,temp,ci,absmag,bcorr,bmag,r,g,b
K,8,IV,1.9,1.70E+01,9.90E+00,3780,1.37,3.2,-1.52,1.68,1,0.843137255,0.635294118
K,8,V,0.6,1.55E-01,9.46E-01,3780,1.37,8.3,-1.52,6.78,1,0.819607843,0.682352941
K,8,VI,0.3,5.62E-02,5.70E-01,3780,1.37,9.4,-1.52,7.88,1,0.819607843,0.682352941
K,9,Ia0,15.8,1.83E+06,3.35E+03,3725,1.39,-9.3,-1.61,-10.91,1,0.803921569,0.568627451
K,9,Ia,11.1,2.65E+05,1.27E+03,3725,1.39,-7.2,-1.61,-8.81,1,0.803921569,0.568627451
K,9,Ib,6.3,5.04E+04,5.56E+02,3725,1.39,-5.4,-1.61,-7.01,1,0.803921569,0.568627451
K,9,II,4.9,3.83E+03,1.53E+02,3725,1.39,-2.6,-1.61,-4.21,1,0.819607843,0.541176471
K,9,III,3.4,6.06E+02,6.09E+01,3725,1.39,-0.6,-1.61,-2.21,1,0.803921569,0.529411765
K,9,IV,2,2.07E+01,1.18E+01,3640,1.43,3.2,-1.74,1.46,1,0.839215686,0.631372549
K,9,V,0.5,1.44E-01,9.82E-01,3640,1.43,8.6,-1.74,6.86,1,0.792156863,0.615686275
K,9,VI,0.3,4.33E-02,5.40E-01,3640,1.43,9.9,-1.74,8.16,1,0.792156863,0.615686275
M,0,Ia0,15.8,1.90E+06,3.46E+03,3700,1.41,-9.3,-1.65,-10.95,1,0.8,0.560784314
M,0,Ia,13.3,2.74E+05,1.31E+03,3700,1.41,-7.2,-1.65,-8.85,1,0.8,0.560784314
M,0,Ib,10.7,5.73E+04,6.00E+02,3700,1.41,-5.5,-1.65,-7.15,1,0.8,0.560784314
M,0,II,8.2,3.96E+03,1.58E+02,3700,1.41,-2.6,-1.65,-4.25,1,0.811764706,0.521568627
M,0,III,5.6,6.89E+02,6.58E+01,3700,1.41,-0.7,-1.65,-2.35,1,0.796078431,0.517647059
M,0,IV,3.1,2.60E+01,1.43E+01,3500,1.49,3.2,-1.99,1.21,1,0.835294118,0.62745098
M,0,V,0.5,1.25E-01,9.90E-01,3500,1.49,9,-1.99,7.01,1,0.764705882,0.545098039
M,0,VI,0.2,3.76E-02,5.44E-01,3500,1.49,10.3,-1.99,8.31,1,0.764705882,0.545098039
M,1,Ia0,15.1,2.56E+06,4.46E+03,3510,1.49,-9.3,-1.97,-11.27,1,0.792156863,0.541176471
M,1,Ia,12.7,3.37E+05,1.62E+03,3510,1.49,-7.1,-1.97,-9.07,1,0.792156863,0.541176471
M,1,Ib,10.2,7.73E+04,7.75E+02,3510,1.49,-5.5,-1.97,-7.47,1,0.792156863,0.541176471
M,1,II,7.8,5.86E+03,2.13E+02,3510,1.49,-2.7,-1.97,-4.67,1,0.803921569,0.501960784
M,1,III,5.3,9.29E+02,8.50E+01,3510,1.49,-0.7,-1.97,-2.67,1,0.784313725,0.474509804
M,1,IV,2.9,3.55E+01,1.84E+01,3333,1.57,3.2,-2.33,0.87,1,0.831372549,0.623529412
M,1,V,0.5,6.18E-02,7.68E-01,3333,1.57,10.1,-2.33,7.77,1,0.8,0.556862745
M,1,VI,0.2,1.86E-02,4.22E-01,3333,1.57,11.4,-2.33,9.07,1,0.8,0.556862745
M,2,Ia0,14.5,3.65E+06,5.95E+03,3320,1.58,-9.3,-2.36,-11.66,1,0.756862745,0.407843137
M,2,Ia,12.1,4.81E+05,2.16E+03,3320,1.58,-7.1,-2.36,-9.46,1,0.756862745,0.407843137
M,2,Ib,9.8,1.10E+05,1.03E+03,3320,1.58,-5.5,-2.36,-7.86,1,0.756862745,0.407843137
M,2,II,7.4,8.36E+03,2.85E+02,3320,1.58,-2.7,-2.36,-5.06,1,0.796078431,0.48627451
M,2,III,5.1,1.21E+03,1.08E+02,3320,1.58,-0.6,-2.36,-2.96,1,0.776470588,0.462745098
M,2,IV,2.7,5.09E+01,2.44E+01,3167,1.65,3.2,-2.72,0.48,1,0.82745098,0.615686275
